interactor_1	interactor_2	interactor_1_uniprot	interactor_2_uniprot
BPY2	UBE3A	O14599	Q05086
EWSR1	TMSB4Y	Q01844	O14604
BPY2	MAP1S	O14599	Q66K74
UTY	TLE1	O14607	Q04724
TLE1	UTY	Q04724	O14607
UTY	TLE2	O14607	Q04725
DAZL	DAZ1	Q92904	Q9NQZ3
DAZ1	DAZL	Q9NQZ3	Q92904
AR	SRY	P10275	Q05066
DAZAP1	DAZ1	Q96EP5	Q9NQZ3
DAZ1	DAZAP1	Q9NQZ3	Q96EP5
DAZAP2	DAZ1	Q15038	Q9NQZ3
DAZ1	DAZAP2	Q9NQZ3	Q15038
DAZ1	DAZ1	Q9NQZ3	Q9NQZ3
ACTA1	TMSB4Y	P68133	O14604
RPAP1	DDX3Y	Q9BWH6	O15523
PMS1	USP9Y	P54277	O00507
NCOA6	UTY	Q14686	O14607
SRY	SP1	Q05066	P08047
ZFY	ZBTB9	P08048	Q96C00
PCBD2	TGIF2LY	Q9H0N5	Q8IUE0
TSPY1	HIST2H2AC	Q01534	Q16777
TSPY1	HIST2H2BE	Q01534	Q16778
SAP25	DDX3Y	Q8TEE9	O15523
CSNK2A1	TSPY1	P68400	Q01534
SRY	EP300	Q05066	Q09472
EP300	SRY	Q09472	Q05066
KPNB1	SRY	Q14974	Q05066
SRY	HDAC3	Q05066	O15379
POT1	DDX3Y	Q9NUX5	O15523
SMAD3	SRY	P84022	Q05066
YWHAQ	TGIF2LY	P27348	Q8IUE0
SIRT1	USP9Y	Q96EB6	O00507
VHL	DDX3Y	P40337	O15523
KDM5D	HIST3H3	Q9BY66	Q16695
KDM5D	PCGF6	Q9BY66	Q9BYE7
SRY	WDR5	Q05066	P61964
TERF1	RBMY1A1	P54274	P0DJD3
TERF1	TMSB4Y	P54274	O14604
TERF2IP	TMSB4Y	Q9NYB0	O14604
POT1	TMSB4Y	Q9NUX5	O14604
CUL3	EIF1AY	Q13618	O14602
CUL4A	CDY2A	Q13619	Q9Y6F7
SHBG	DDX3Y	P04278	O15523
ATXN1	EIF1AY	P54253	O14602
SMAD2	DDX3Y	Q15796	O15523
SMAD3	DDX3Y	P84022	O15523
SHC1	USP9Y	P29353	O00507
TSPY2	APP	A6NKD2	P05067
ESR1	DDX3Y	P03372	O15523
YWHAE	RBMY1A1	P62258	P0DJD3
USP9Y	UBC	O00507	P0CG48
DAZ1	PUM2	Q9NQZ3	Q8TB72
